,16,17,18,19,20,21,22,23,24,25
0,0.0,0.005917,0.015259,0.026024,0.040462,0.057619,0.07627,0.097029,0.123035,0.153649
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.253564,0.286217,0.321583,0.360695,0.405378,0.47469,0.525891,0.585202,0.658616,0.756668
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.160557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.142536,0.168697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.122021,0.138341,0.166111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.107502,0.122551,0.139514,0.168891,0.0,0.0,0.0,0.0,0.0,0.0
20,0.105044,0.120528,0.138641,0.159104,0.192404,0.0,0.0,0.0,0.0,0.0
21,0.063434,0.074927,0.089391,0.104808,0.122433,0.154534,0.0,0.0,0.0,0.0
22,0.0512,0.061268,0.074229,0.088804,0.105744,0.125846,0.154877,0.0,0.0,0.0
23,0.040861,0.050729,0.063097,0.076378,0.091103,0.110626,0.130743,0.162856,0.0,0.0
24,0.030862,0.040104,0.051156,0.063289,0.077015,0.094988,0.113504,0.135521,0.172005,0.0
25,0.022419,0.030721,0.041019,0.052007,0.065461,0.081697,0.098715,0.119392,0.146344,0.189683
